uid	sid
0	6536
1	6348
2	3039
2	3056
2	4187
3	3280
3	3330
3	3959
3	5080
3	5242
3	5517
3	9062
4	5573
5	8907
6	2888
7	6532
8	6311
9	4240
10	1430
11	0
12	6537
13	7846
13	8434
13	9047
14	6261
15	2898
16	0
16	308
16	483
16	488
16	3861
16	4537
16	4890
16	5932
16	6417
16	8045
16	8951
17	1021
18	7375
19	0
19	1693
20	4349
20	6809
20	8621
21	1903
22	2364
22	6065
23	8592
24	5464
24	5996
24	7375
24	8249
24	8668
25	3619
25	4349
25	4882
25	6493
26	7473
27	5314
27	6566
28	4734
28	8244
28	8245
28	8669
29	7019
30	7018
31	7159
32	6261
33	62
33	586
33	1170
33	2017
33	2591
33	2604
33	2736
33	4295
33	4359
33	5138
34	6185
35	7999
36	521
36	2275
36	2712
36	2716
37	42
38	7271
38	8101
38	8735
39	3845
39	3899
39	4466
39	5025
39	6085
39	6554
39	6927
40	4355
40	4533
40	7188
41	815
42	2674
42	3869
42	6445
43	6906
44	8091
45	6537
46	1
46	4582
46	6841
46	8560
47	6257
48	7922
49	1
50	4447
50	6764
50	8321
50	8713
50	8715
51	2
52	2
53	2
53	280
53	1622
53	3351
53	4241
53	5015
53	7352
54	2
54	2260
55	2
55	82
56	3856
56	6566
57	1937
57	3087
57	5732
58	3900
59	3834
60	3
61	1208
61	4166
62	7906
63	7607
64	5126
64	7745
65	2931
65	4497
65	4808
65	5435
65	5523
65	5770
65	5810
65	6849
65	8033
65	8371
66	8004
67	7983
68	2590
68	5338
69	33
69	762
69	2340
69	2926
69	3303
69	3534
69	3871
69	4265
70	8249
70	8788
71	8504
72	7451
73	5915
73	7278
74	4377
74	8755
75	1223
75	4769
76	6926
77	8747
78	8512
79	4651
80	2703
80	5109
80	5464
80	6566
80	7674
81	8525
82	5
83	7538
84	4529
85	5246
85	8996
86	89
86	231
86	2173
86	3328
86	3845
86	4168
86	4251
86	4253
86	5569
86	5711
86	6234
87	4907
88	7039
88	8490
89	8899
90	2169
91	4698
91	5772
91	7490
91	8265
92	7941
93	6
94	3542
95	6441
96	6535
97	4537
97	6634
97	8667
97	8837
97	8945
98	6
99	8022
99	8504
100	7433
100	8365
101	7517
102	1657
102	2728
102	3869
102	4907
103	3855
104	6483
105	5800
106	5902
