uid	sid
0	7551
0	8845
0	8946
0	8947
1	4824
1	7506
1	8470
1	8482
1	8663
1	8792
1	9047
2	2221
2	2731
2	2771
2	2977
2	3333
2	3417
2	3701
2	3780
2	4248
2	4569
2	4992
2	5592
2	5913
2	7176
3	978
3	1720
3	2190
3	2339
3	2369
3	2457
3	2562
3	2698
3	2770
3	3153
3	3554
3	3756
3	3805
3	3977
3	4016
3	4031
3	4118
3	4214
3	4224
3	4440
3	4503
3	5224
3	5369
3	5659
3	6120
3	6600
3	7380
3	7724
3	7853
4	54
4	954
4	1112
4	1332
4	2975
4	4244
4	5269
4	5533
5	17
5	3734
5	4559
5	5802
5	5816
5	6150
5	7115
5	8079
5	8371
6	1361
6	1818
6	6476
6	7751
6	8727
7	1046
7	5327
7	5530
7	7650
7	7883
8	2898
8	6066
8	6816
8	8647
8	8982
9	171
9	3600
9	4409
9	4701
9	7710
10	0
10	3083
10	3105
10	3138
10	3969
10	6545
11	3766
11	4025
11	5751
11	6841
11	7071
11	7729
11	7828
12	0
12	5344
12	6246
12	6261
12	6293
12	6787
12	7953
13	0
13	5369
13	6786
13	6886
13	7493
13	7495
13	7729
13	7853
13	8039
13	8187
13	8374
13	8440
13	8450
13	8456
13	8459
13	8470
13	8971
14	0
14	4986
14	6303
14	6382
14	7953
15	0
15	2899
15	4568
15	5613
15	8430
16	177
16	184
16	226
16	3845
16	3911
16	4089
16	4203
16	4214
16	4215
16	4294
16	4360
16	4392
16	4497
16	4527
16	4829
16	4927
16	4949
16	5061
16	5242
16	5361
16	5464
16	6056
16	6278
16	6380
16	6465
16	6513
16	6827
16	6853
16	6873
16	6887
16	7225
16	7409
16	7428
16	7514
16	7553
16	7576
16	7609
16	8229
16	8244
16	8417
16	8429
16	8431
16	8737
16	8880
16	8929
16	9012
17	0
17	3132
17	3766
17	3975
17	4506
17	6871
17	7883
17	8082
18	0
18	7554
18	7584
18	7718
18	8445
18	8528
18	8592
19	4176
19	5061
19	5314
19	5369
19	5595
19	6261
19	6925
19	7155
19	7467
19	8367
19	8601
19	8923
20	0
20	264
20	1021
20	3030
20	4248
20	5417
20	5541
20	6863
20	6871
20	7323
20	7608
20	7883
20	7953
20	8430
21	0
21	2459
21	2474
21	3876
21	5751
21	6553
21	7088
22	0
22	2212
22	3423
22	3792
22	4418
22	4420
22	5237
22	5285
22	5360
22	5738
22	6382
23	0
23	4514
23	7096
23	7689
23	8508
24	0
24	415
24	3344
24	4881
24	5082
24	5314
24	5405
24	5806
24	6128
24	6567
24	6719
24	6816
24	7135
24	7279
24	7754
24	7809
24	7870
24	8082
24	8275
24	8512
24	8517
24	8731
24	8890
25	0
