uid	sid
0	2631
0	1801
0	501
0	714
0	448
0	843
0	783
0	119
1	535
1	2350
1	2450
1	896
1	497
1	1564
1	498
1	584
1	500
1	1981
1	697
1	1167
1	1467
1	914
2	2642
2	1076
2	825
2	538
2	904
2	905
2	1466
3	921
3	797
3	2287
4	432
4	1801
4	2102
4	512
4	1251
4	920
4	685
4	2239
4	1769
4	835
4	2528
4	1116
4	1311
4	1400
4	477
4	2076
5	1850
5	791
5	796
5	896
5	2906
5	2300
5	16
5	2801
5	1840
6	903
6	975
6	1192
6	2906
6	398
7	243
7	0
7	320
7	448
7	586
7	1295
7	1241
7	1194
7	2479
7	473
7	2533
7	2692
7	24
7	1276
7	2076
7	34
8	1129
8	2939
8	44
8	0
8	1801
8	247
8	131
8	2904
8	920
8	1529
8	2423
8	1774
8	2136
9	962
9	496
9	0
9	1631
9	903
9	905
9	2096
9	589
9	262
9	593
9	1584
9	2173
9	208
9	2354
9	2359
9	1591
9	998
9	999
9	770
9	2692
9	780
9	1774
9	783
9	1784
9	846
9	2143
9	792
9	365
9	240
9	310
9	2384
9	800
9	1867
9	2395
9	728
9	2952
9	2827
9	1751
9	1502
9	1503
9	907
9	1504
9	911
9	1815
9	825
9	2523
9	1255
9	2481
9	2301
9	403
9	834
9	1840
9	1597
9	1007
9	939
9	2014
9	172
9	1608
9	945
9	1542
10	2666
10	1429
10	1988
10	1338
10	2788
10	2160
10	2164
10	512
10	2295
10	463
10	826
10	757
10	2639
11	3019
11	700
12	967
12	584
12	263
12	1059
12	243
12	1174
12	1814
13	2076
13	243
14	535
14	2086
14	1978
14	2330
14	2417
14	636
14	2070
14	2696
14	2198
14	2259
14	1221
14	1229
14	2212
14	2455
14	459
14	91
14	917
14	920
14	1353
15	2135
15	1801
16	1969
16	2939
16	2708
16	1087
16	498
16	500
16	593
16	1667
16	163
16	2801
16	2857
16	2860
16	2861
16	1729
16	2870
16	2874
16	241
16	2382
16	243
16	2456
16	1747
16	863
16	448
16	381
16	1821
16	920
16	921
16	461
16	95
16	2856
16	1602
16	2638
16	2639
17	535
17	893
17	964
17	494
17	496
17	497
17	901
17	501
17	586
17	205
17	1579
17	1580
17	1046
17	2118
17	996
17	16
17	2696
17	697
17	1069
17	2861
17	2138
17	794
17	307
17	243
17	2166
17	1241
17	1502
17	908
17	743
17	2225
17	917
17	2291
17	1519
17	1194
17	473
17	2528
17	1602
17	1962
18	1017
18	496
18	184
18	3057
18	1635
18	2095
18	2036
18	134
18	263
18	1582
18	1584
18	2676
18	9
18	2423
18	696
18	1771
18	1774
18	2808
18	652
18	2136
18	31
18	2261
18	1502
18	2899
18	2295
18	96
18	927
18	1529
19	44
19	384
19	1529
20	2327
21	497
21	1561
21	1569
21	975
21	2788
21	685
21	2369
21	613
21	2136
21	1726
21	1076
21	2825
21	1749
21	868
21	512
21	921
21	463
21	96
21	826
21	1962
21	1272
21	945
21	1545
22	954
22	0
22	2092
22	1419
22	1644
22	1151
22	215
22	1763
22	163
22	20
22	2857
22	2136
22	2076
22	31
22	2259
22	2212
22	861
22	1496
22	2166
22	742
22	1512
22	823
22	928
22	930
22	945
23	2645
23	122
23	905
23	2095
23	975
23	1578
23	2359
23	1111
23	689
23	2434
23	1851
23	307
23	2160
23	811
23	448
23	512
23	920
23	821
23	1194
23	927
23	1597
24	905
24	556
24	1057
24	1717
24	863
24	1932
24	2900
24	912
24	403
24	1274
25	2711
25	2661
25	130
25	1338
25	2171
25	163
25	1771
25	2253
25	1473
25	846
25	1798
25	2456
25	2407
25	1242
25	2468
25	101
25	830
25	403
25	84
25	1276
26	1563
26	905
26	987
26	999
26	685
26	693
26	700
26	706
26	914
26	675
27	983
27	2048
27	2255
27	1473
27	36
27	1171
27	2261
27	47
27	907
27	2287
27	931
27	470
27	1260
28	2320
28	582
28	905
28	1847
28	2881
28	2289
28	932
28	831
28	2629
28	1009
29	3054
29	2752
29	923
29	1529
30	974
30	2721
30	975
30	2620
30	1755
30	2359
30	1866
30	730
30	863
30	1503
30	821
30	403
30	2583
31	589
31	31
31	915
31	512
31	398
32	2322
32	2710
32	494
32	1977
32	1024
32	2036
32	1032
32	977
32	552
32	1655
32	1046
32	2788
32	2414
32	696
32	2750
32	1458
32	780
32	1400
32	34
32	706
32	2380
32	431
32	2208
32	320
32	2160
32	861
32	1503
32	907
32	2224
32	913
32	1510
32	814
32	1511
32	917
32	2841
32	926
32	832
32	1006
32	1273
33	2645
33	964
33	2596
33	1629
33	2413
33	283
33	1069
33	1722
33	2258
33	2396
33	2776
33	1496
33	1499
33	914
33	510
33	1815
33	825
33	469
33	2631
33	1606
33	567
33	420
34	893
34	969
34	905
34	1981
34	631
34	1584
34	1755
34	1451
34	16
34	1666
34	774
34	1065
34	2860
34	36
34	847
34	243
34	2453
34	2830
34	2904
34	2291
34	1520
34	1005
35	2318
35	535
35	2594
35	2998
35	2086
35	0
35	5
35	1084
35	499
35	1981
35	3061
35	1641
35	2729
35	1047
35	2359
35	997
35	1393
35	2691
35	2369
35	701
35	614
35	29
35	31
35	300
35	2373
35	1686
35	2869
35	2767
35	2497
35	2384
35	2450
35	1736
35	2882
35	376
35	381
35	1292
35	1188
35	2900
35	743
35	867
35	868
35	1247
35	1192
35	2961
35	921
35	398
35	1303
35	95
35	1198
35	2974
35	1529
35	472
35	473
35	1837
35	1839
35	836
35	567
35	945
35	949
35	2314
36	535
36	1578
36	2623
36	697
36	736
36	834
36	1605
37	495
37	1641
37	2061
37	1774
37	300
37	307
37	459
37	1347
37	2631
37	1840
37	951
38	2800
38	2137
38	2145
38	2767
38	861
38	2295
39	967
39	903
39	905
39	130
39	2052
39	300
39	674
39	821
39	831
40	1245
40	917
41	2322
41	134
41	1104
41	593
41	2413
41	996
41	1393
41	162
41	1058
41	1060
41	696
41	1458
41	23
41	293
41	1847
41	300
41	1866
41	320
41	1746
41	863
41	1811
41	2289
41	2470
41	1516
41	1953
41	1954
41	1263
41	2315
42	2002
42	2136
42	1838
43	2316
43	970
43	903
43	2096
43	1334
43	586
43	1574
43	261
43	2348
43	2620
43	2622
43	999
43	215
43	2361
43	2136
43	1850
43	2874
43	861
43	1192
43	1953
43	2528
43	2532
43	1840
44	2593
44	111
44	1366
44	2721
44	2726
44	991
44	682
44	2061
44	220
44	1711
44	691
44	24
44	48
44	2513
44	2527
44	933
44	1905
44	420
45	1475
45	1476
45	1479
45	1481
45	1486
45	1487
46	16
46	915
46	952
47	494
47	6
47	967
47	506
47	1584
47	609
47	1857
47	2450
47	1229
47	1866
47	2527
47	2598
47	2032
47	1981
47	261
47	16
47	846
47	311
47	2211
47	2217
47	861
47	448
47	2287
47	512
47	2906
47	926
47	928
47	403
47	1013
47	1612
47	952
48	957
48	497
48	2327
48	1181
48	1415
48	2861
48	2076
48	797
48	243
48	2890
48	384
48	907
49	2998
49	2758
50	2939
50	1027
50	1429
50	2751
50	2694
51	1623
51	3057
51	1219
51	134
51	2212
51	439
51	384
51	398
51	2931
52	1016
52	1553
52	892
52	2325
52	963
52	495
52	1028
52	903
52	987
52	633
52	1703
52	1052
52	1593
52	1001
52	1004
52	641
52	1763
52	2423
52	2361
52	1159
52	2362
52	1055
52	1065
52	1680
52	701
52	1069
52	652
52	1851
52	2379
52	1129
52	1229
52	1796
52	1799
52	725
52	1746
52	1932
52	2514
52	1192
52	1890
52	2523
52	1254
52	1953
52	1898
52	1259
52	1840
52	2011
52	2023
52	2549
52	1279
52	2031
52	2090
52	2092
52	247
52	1424
52	1373
52	189
52	194
52	2102
52	1338
52	151
52	2687
52	770
52	281
52	219
52	2748
52	289
52	24
52	2135
52	1465
52	2758
52	1472
52	2704
52	297
52	235
52	33
52	847
52	2259
52	2262
52	796
52	44
52	243
52	437
52	375
52	1493
52	2221
52	863
52	1502
52	1507
52	2283
52	2225
52	67
52	1516
52	921
52	1520
52	925
52	2295
52	823
52	520
52	2302
52	470
52	835
52	1597
52	3035
52	1603
52	1615
52	951
53	3006
53	2384
53	675
53	194
53	2160
53	825
54	263
54	2072
54	2831
55	5
55	1757
55	1228
55	119
55	120
55	24
55	2136
55	36
55	448
56	2650
56	444
56	928
56	932
56	935
56	470
57	1621
57	2320
57	576
57	1024
57	901
57	541
57	904
57	499
57	501
57	979
57	1045
57	992
57	993
57	2410
57	2359
57	999
57	685
57	609
57	742
57	2575
57	1894
57	1953
57	1904
57	1210
57	2023
57	1279
57	1416
57	1286
57	2032
57	2095
57	2107
57	2173
57	273
57	2687
57	1390
57	2750
57	2692
57	1459
57	2076
57	32
57	846
57	243
57	439
57	320
57	2160
57	859
57	1508
57	2284
57	2287
57	868
57	334
57	922
57	1519
57	2295
57	461
57	2239
57	2240
57	932
57	1529
57	835
57	1012
57	843
57	2315
57	952
58	896
58	1564
58	904
58	593
58	989
58	679
58	682
58	1784
58	2505
58	726
58	743
58	34
58	437
58	320
58	2958
58	911
58	1520
58	931
58	1529
58	834
58	939
59	1151
59	1123
59	2378
59	1234
59	2611
59	300
60	3019
61	961
61	1694
61	1561
61	1088
61	1093
61	986
61	987
61	2410
61	1755
61	1757
61	1001
61	687
61	690
61	652
61	2490
61	707
61	2384
61	1732
61	735
61	740
61	743
61	2567
61	1952
61	1309
61	2531
61	2486
61	2639
61	1318
61	2642
61	185
61	2668
61	1443
61	152
61	2743
61	1449
61	1450
61	219
61	2806
61	1463
61	20
61	2703
61	847
61	2830
61	2286
61	920
61	926
61	928
61	828
61	2979
61	877
61	836
61	842
62	1086
62	1567
62	1781
62	1932
62	2471
62	1840
62	2076
62	62
62	461
63	1086
63	2136
63	2257
63	2212
64	535
64	0
64	499
64	502
64	1032
64	2416
64	1056
64	1163
64	609
64	1850
64	743
64	2520
64	1194
64	1463
64	2812
64	2137
64	423
64	47
64	320
64	2290
64	2908
65	95
65	2078
65	2906
66	1631
66	977
66	700
66	745
66	746
66	96
66	757
66	1276
66	34
66	2258
66	840
67	983
67	589
67	2421
67	687
67	2381
67	1241
67	2712
67	936
67	477
68	891
68	1778
68	1295
68	130
68	266
68	219
68	359
68	300
68	243
68	841
69	2939
69	2325
69	2470
69	1961
69	2095
69	861
70	535
70	905
70	2004
71	3061
71	2410
71	1804
71	1295
71	2906
72	1016
72	2999
72	3058
72	903
72	905
72	1665
72	1668
72	1057
72	1221
72	2470
72	95
72	1920
72	2095
72	163
72	2188
72	2259
72	322
72	2161
72	907
72	912
72	2906
72	871
72	1602
73	500
73	989
73	690
73	2712
73	2669
74	494
74	0
74	987
74	1584
74	2423
74	609
74	2457
74	2459
74	1142
74	1296
74	1202
74	752
74	1838
74	2089
74	1982
74	1429
74	148
74	789
74	794
74	423
74	307
74	513
74	1513
74	821
74	475
74	843
75	0
75	1784
75	2451
75	2460
75	1834
75	2639
75	281
75	16
75	2071
75	2076
75	2767
75	2212
75	47
75	2967
76	2212
76	2904
77	896
77	1757
77	1116
77	1171
77	1801
77	2470
77	2473
77	1999
77	1452
77	307
77	800
77	459
77	1518
77	395
77	948
77	882
78	2361
78	2583
78	2715
79	697
79	2451
79	1870
79	95
79	2639
79	1508
80	888
80	963
80	906
80	593
80	989
80	689
80	1680
80	1228
80	746
80	749
80	215
80	2264
80	2974
80	1529
81	574
81	891
81	1086
81	624
81	904
81	2409
81	2417
81	616
81	2450
81	1228
81	1303
81	95
81	1329
81	130
81	2101
81	448
81	512
82	1668
82	690
82	1867
82	2469
82	1892
82	2024
82	203
82	2753
82	2136
82	2225
82	2296
83	95
83	907
83	921
83	922
84	2571
84	2795
85	1704
85	680
85	2470
85	1893
85	2023
85	1328
85	215
85	774
86	903
86	1686
86	1459
86	2767
86	403
87	685
87	689
87	701
87	729
87	2594
87	1462
87	1466
87	1473
87	910
87	914
88	697
88	1874
89	2325
89	615
89	1072
89	2393
89	1297
89	1194
89	2533
89	1960
89	2082
89	1421
89	247
89	2611
89	288
89	2136
89	2256
89	2212
89	448
89	2900
89	925
89	2309
90	983
90	1151
90	999
90	687
90	1840
90	2157
90	2217
90	944
91	1622
91	2943
91	1640
91	976
91	2423
91	1066
91	1866
91	676
91	1243
91	2515
91	1302
91	2521
