uid	sid
0	15
0	17
0	21
0	28
0	44
1	50
1	60
1	65
1	76
1	84
1	90
1	113
1	126
1	127
1	129
1	139
1	140
1	142
1	144
2	171
2	61
2	173
2	174
2	184
2	185
2	189
2	195
2	199
2	205
2	208
3	246
3	257
3	268
4	284
4	291
4	292
4	295
4	298
4	302
4	314
4	315
5	336
5	348
5	322
5	357
6	383
6	288
6	294
7	396
8	423
9	279
9	434
9	320
10	440
10	443
10	447
10	451
10	452
10	454
10	469
11	472
11	334
11	486
11	38
11	306
12	504
12	372
12	506
12	512
12	273
12	440
12	474
12	522
12	336
12	3
12	529
12	532
12	447
12	237
12	254
12	548
12	431
12	460
12	554
12	556
12	556
12	562
12	568
12	575
12	435
12	330
12	578
12	292
12	292
12	590
12	422
12	296
12	298
12	610
12	300
12	351
12	495
12	261
12	616
12	302
12	38
12	620
12	353
12	627
12	628
12	629
12	630
12	312
12	266
12	499
12	500
12	269
13	503
13	554
13	564
13	259
14	653
14	427
14	519
14	656
14	402
14	15
14	340
14	564
14	288
14	300
14	37
14	496
14	409
14	362
15	647
15	372
15	539
15	280
15	431
15	342
15	257
15	351
15	238
16	674
16	679
16	681
16	535
17	503
17	246
17	539
17	583
17	587
17	587
17	300
17	611
17	303
17	660
17	660
17	423
17	623
17	699
17	661
18	703
18	711
19	717
19	335
19	518
19	351
19	723
19	322
19	627
19	266
20	29
20	261
20	38
21	335
21	287
21	593
22	731
23	283
23	658
24	0
24	760
25	651
25	610
25	261
26	722
26	623
27	544
27	261
28	502
28	330
29	19
29	351
30	506
30	289
30	591
30	769
31	764
31	283
32	332
32	718
32	666
32	541
32	558
32	777
32	698
32	622
32	239
32	627
32	699
32	633
32	405
32	263
32	268
32	362
33	236
33	318
33	590
34	664
34	277
34	536
34	340
34	591
34	300
34	785
35	314
35	263
36	245
36	611
36	612
36	622
37	541
37	287
38	790
38	320
39	483
39	625
40	393
40	335
40	515
40	772
40	532
40	255
40	432
40	600
40	356
41	505
41	774
41	278
41	442
41	797
41	282
41	340
41	572
41	289
41	670
41	305
41	240
41	358
42	244
42	774
42	666
42	280
42	569
42	572
42	486
42	259
42	310
42	700
43	807
43	809
43	814
43	815
43	822
43	824
43	830
43	237
43	834
43	836
43	837
43	748
43	280
43	845
43	847
43	10
43	859
43	569
43	884
43	891
43	898
43	900
43	901
43	112
43	120
43	909
43	137
43	147
43	925
44	332
44	410
44	372
44	1
44	481
44	10
44	464
44	435
44	926
44	600
44	351
44	723
44	636
44	242
45	274
45	786
45	527
45	444
45	252
