uid	sid
0	0
0	1
0	3
0	5
0	7
0	10
0	11
0	12
0	16
0	18
0	20
0	22
0	23
0	26
0	27
0	27
0	29
0	30
0	32
0	33
0	34
0	35
0	38
0	39
0	41
1	45
1	49
1	51
1	53
1	59
1	61
1	63
1	66
1	68
1	69
1	69
1	72
1	74
1	75
1	79
1	81
1	82
1	85
1	86
1	87
1	88
1	90
1	91
1	96
1	98
1	99
1	100
1	102
1	103
1	104
1	107
1	111
1	112
1	114
1	115
1	116
1	118
1	121
1	122
1	124
1	125
1	128
1	131
1	132
1	134
1	137
1	138
1	141
1	145
1	146
1	147
1	150
1	151
1	153
1	154
1	155
1	157
2	166
2	167
2	168
2	170
2	172
2	175
2	176
2	178
2	179
2	180
2	182
2	186
2	187
2	191
2	192
2	193
2	194
2	196
2	198
2	201
2	202
2	204
2	206
2	207
2	208
2	209
2	210
2	211
2	213
2	217
2	218
2	131
2	219
2	220
2	221
2	222
2	223
2	225
2	226
2	227
2	229
2	230
2	156
2	231
2	232
2	233
2	234
3	243
3	0
3	245
3	247
3	248
3	249
3	250
3	251
3	255
3	256
3	258
3	259
3	38
3	262
3	263
3	266
3	267
4	270
4	271
4	272
4	274
4	275
4	276
4	277
4	278
4	279
4	237
4	280
4	281
4	282
4	283
4	285
4	286
4	287
4	288
4	289
4	290
4	293
4	294
4	294
4	296
4	297
4	300
4	303
4	304
4	307
4	308
4	310
4	311
4	312
4	313
4	314
5	317
5	338
5	339
5	340
5	341
5	341
5	343
5	344
5	344
5	345
5	346
5	347
5	349
5	350
5	351
5	356
5	359
5	360
5	361
5	362
5	363
6	372
6	373
6	374
6	236
6	375
6	376
6	377
6	378
6	379
6	381
6	382
6	386
6	387
6	389
6	390
6	391
6	392
7	393
7	394
7	249
7	252
7	395
7	259
7	397
7	303
7	398
8	415
8	235
8	416
8	418
8	419
8	420
8	414
8	421
8	422
9	424
9	425
9	427
9	428
9	429
9	430
9	433
9	286
9	298
9	298
9	351
9	305
9	437
10	438
10	439
10	274
10	441
10	317
10	442
10	444
10	445
10	446
10	448
10	449
10	453
10	455
10	10
10	457
10	458
10	402
10	459
10	460
10	461
10	462
10	463
10	464
10	465
10	407
10	466
10	292
10	467
10	30
10	30
10	468
10	261
10	470
11	325
11	273
11	274
11	474
11	476
11	481
11	341
11	286
11	487
11	488
11	489
11	490
11	492
11	351
11	495
11	437
11	437
11	308
11	498
11	313
11	241
11	263
12	501
12	472
12	502
12	415
12	503
12	393
12	1
12	507
12	509
12	333
12	333
12	511
12	245
12	513
12	514
12	427
12	427
12	335
12	439
12	516
12	274
12	276
12	519
12	520
12	441
12	521
12	475
12	277
12	524
12	525
12	525
12	248
12	526
12	527
12	528
12	530
12	442
12	531
12	533
12	4
12	535
12	535
12	327
12	251
12	251
12	252
12	338
12	537
12	539
12	253
12	281
12	540
12	542
12	282
12	481
12	543
12	455
12	419
12	546
12	10
12	457
12	283
12	402
12	402
12	185
12	552
12	553
12	484
12	484
12	460
12	555
12	556
12	557
12	558
12	559
12	284
12	462
12	433
12	285
12	560
12	15
12	561
12	563
12	387
12	286
12	287
12	564
12	565
12	19
12	568
12	570
12	571
12	288
12	575
12	488
12	289
12	289
12	329
12	408
12	577
12	403
12	290
12	489
12	580
12	345
12	346
12	582
12	292
12	583
12	294
12	295
12	584
12	390
12	585
12	492
12	586
12	259
12	347
12	587
12	589
12	320
12	591
12	592
12	593
12	594
12	397
12	595
12	597
12	598
12	599
12	29
12	600
12	601
12	297
12	602
12	604
12	605
12	606
12	607
12	608
12	31
12	350
12	350
12	611
12	351
12	612
12	613
12	614
12	493
12	493
12	615
12	391
12	301
12	303
12	38
12	38
12	617
12	617
12	618
12	618
12	619
12	304
12	496
12	306
12	306
12	306
12	621
12	423
12	355
12	622
12	623
12	623
12	624
12	239
12	262
12	356
12	625
12	409
12	631
12	307
12	497
12	632
12	308
12	309
12	498
12	633
12	634
12	635
12	240
12	636
12	405
12	323
12	359
12	360
12	241
12	638
12	639
12	264
12	640
12	315
12	641
12	642
12	361
12	267
12	268
12	644
12	324
12	362
12	645
12	646
13	411
13	394
13	473
13	523
13	649
13	526
13	3
13	419
13	419
13	431
13	15
13	565
13	403
13	579
13	582
13	422
13	397
13	598
13	302
14	235
14	654
14	372
14	0
14	508
14	510
14	2
14	428
14	271
14	411
14	335
14	374
14	236
14	525
